level_0,level_1,+,-,0,total,score
10,34,649,341,540,990,65.55555555555556
10,39,1297,715,1225,2012,64.46322067594433
10,44,1909,1144,2144,3053,62.52866033409761
10,49,2575,1494,2909,4069,63.28336200540673
10,54,3389,2033,3691,5422,62.504610844706754
10,59,4201,2490,4416,6691,62.78583171424301
11,4,5014,3016,5057,8030,62.44084682440847
11,9,5809,3615,5665,9424,61.64049235993209
11,14,6481,4115,6526,10596,61.16459041147603
11,19,7145,4626,7451,11771,60.700025486364794
11,24,7744,5034,8237,12778,60.604163405853804
11,29,8427,5474,8913,13901,60.621538018847566
11,34,9155,5926,9650,15081,60.705523506398784
11,39,9897,6365,10467,16262,60.859672856967165
11,44,10528,6761,11235,17289,60.894210191451215
11,49,11199,7262,11975,18461,60.663019338064025
11,54,11872,7753,12711,19625,60.494267515923575
11,59,12598,8147,13361,20745,60.727886237647624
12,4,13230,8523,14072,21753,60.81919735208937
12,9,13844,8881,14808,22725,60.91969196919692
12,14,14496,9268,15574,23764,60.99983167816866
12,19,15094,9610,16387,24704,61.0994170984456
12,24,15808,9997,17193,25805,61.25944584382872
12,29,16602,10413,17956,27015,61.45474736257634
12,34,17472,10850,18750,28322,61.69055857637172
12,39,18312,11378,19637,29690,61.67733243516336
12,44,19242,12000,20660,31242,61.59016708277319
12,49,20124,12575,21774,32699,61.543166457689836
12,54,20983,13050,22631,34033,61.654864396321216
12,59,21927,13492,23478,35419,61.90745080324119
13,4,22858,13998,24341,36856,62.01975255046668
13,9,23686,14438,25130,38124,62.128842723743574
13,14,24483,14861,25935,39344,62.22803985359903
13,19,25260,15352,26725,40612,62.19836501526642
13,24,25967,15754,27502,41721,62.23963951007886
13,29,26688,16163,28301,42851,62.28092693286038
13,34,27414,16624,29184,44038,62.250783414324
13,39,28094,17080,30042,45174,62.190640633993
13,44,28797,17577,30935,46374,62.09729589856386
13,49,29515,18021,31829,47536,62.08978458431504
13,54,30141,18477,32693,48618,61.995557201036654
13,59,30812,18935,33489,49747,61.93740326049812
14,4,31517,19360,34349,50877,61.94744186960709
14,9,32555,19792,35174,52347,62.190765468890284
14,14,33400,20269,35986,53669,62.23331904824014
14,19,34261,20732,36938,54993,62.30065644718419
14,24,35072,21099,37852,56171,62.437912801979664
14,29,35817,21503,38641,57320,62.48604326587579
14,34,36560,21854,39499,58414,62.587735816756265
14,39,37329,22212,40199,59541,62.694613795535844
14,44,38023,22622,40883,60645,62.69766674911369
14,49,38810,23096,41649,61906,62.691823086615194
14,54,39600,23498,42369,63098,62.7595169418999
14,59,40298,23924,43118,64222,62.747967986048394
15,4,41050,24310,43908,65360,62.80599755201959
15,9,41811,24714,44590,66525,62.85005636978579
15,14,42491,25107,45478,67598,62.858368590786704
15,19,43236,25469,46261,68705,62.92991776435485
15,24,43948,25791,46966,69739,63.017823599420694
15,29,44574,26154,47758,70728,63.02171700033933
15,34,45271,26518,48410,71789,63.06119321901684
15,39,45931,26845,49071,72776,63.1128393976036
15,44,46630,27242,49823,73872,63.122698722113924
15,49,47387,27648,50695,75035,63.15319517558473
15,54,48046,28017,51526,76063,63.16605971365842
15,59,48695,28368,52396,77063,63.18856000934301
16,4,49352,28742,53181,78094,63.19563602837606
16,9,49942,29098,54092,79040,63.185728744939276
16,14,50641,29452,54957,80093,63.22774774324847
16,19,51362,29840,55856,81202,63.25213664688062
16,24,52164,30271,56801,82435,63.27894704919027
16,29,53052,30698,57820,83750,63.34567164179104
16,34,53921,31078,58723,84999,63.437216908434216
16,39,54772,31524,59650,86296,63.46991749327895
16,44,55528,31920,60542,87448,63.49830756563901
16,49,56265,32351,61401,88616,63.49304865938431
16,54,57009,32753,62201,89762,63.51128539916668
16,59,57744,33147,62944,90891,63.53104267749282
17,4,58496,33538,63827,92034,63.55911945585328
17,9,59298,33886,64586,93184,63.63538804945055
17,14,60128,34279,65408,94407,63.69019246454183
17,19,60868,34699,66264,95567,63.691441606412255
17,24,61577,35143,67230,96720,63.66521918941274
17,29,62398,35642,68229,98040,63.645450836393316
17,34,63275,36086,69134,99361,63.68192751683256
17,39,63993,36511,70005,100504,63.672092653028734
17,44,64699,37008,70815,101707,63.613123973767784
17,49,65444,37405,71605,102849,63.63114857704013
17,54,66104,37763,72522,103867,63.64292797519905
17,59,66851,38197,73442,105048,63.63852714949356
18,4,67594,38653,74276,106247,63.61967867328019
18,9,68342,39161,75134,107503,63.57217938104053
18,14,69165,39694,76002,108859,63.53631762187785
18,19,70023,40138,76822,110161,63.56423779740562
18,24,70807,40604,77651,111411,63.554765687409684
18,29,71731,41105,78487,112836,63.571023432237936
18,34,72752,41707,79437,114459,63.56162468656898
18,39,73664,42310,80372,115974,63.5176849983617
18,44,74535,42864,81265,117399,63.48861574630108
18,49,75443,43376,82154,118819,63.49405398126562
18,54,76352,43839,83148,120191,63.52555515804011
18,59,77197,44325,84005,121522,63.52512302299173
19,4,78080,44899,84915,122979,63.49051464071101
19,9,78967,45350,85819,124317,63.520676979013324
19,14,79851,45931,86813,125782,63.48364630869282
19,19,80714,46482,87755,127196,63.45639799993711
19,24,81607,47216,88727,128823,63.34815987828261
19,29,82661,48031,89739,130692,63.248706883359354
