level_0,level_1,-,+,0,total,score
10,34,455,1054,743,1509,69.84758117958914
10,39,447,940,718,1387,67.7721701514059
10,44,480,952,675,1432,66.4804469273743
10,49,464,933,608,1397,66.78596993557623
10,54,472,908,648,1380,65.79710144927536
10,59,484,888,764,1372,64.72303206997084
11,4,475,923,651,1398,66.02288984263234
11,9,465,1023,664,1488,68.75
11,14,532,1192,894,1724,69.1415313225058
11,19,581,1247,1081,1828,68.21663019693655
11,24,590,1332,1103,1922,69.30280957336107
11,29,674,1414,1066,2088,67.72030651340997
11,34,613,1302,978,1915,67.98955613577023
11,39,583,1238,928,1821,67.98462383305875
11,44,605,1105,913,1710,64.61988304093568
11,49,652,1234,932,1886,65.42948038176034
11,54,648,1242,949,1890,65.71428571428571
11,59,614,1293,994,1907,67.80283167278448
12,4,541,1137,930,1678,67.75923718712752
12,9,539,1127,945,1666,67.64705882352942
12,14,594,1554,1119,2148,72.3463687150838
12,19,587,1383,981,1970,70.20304568527919
12,24,556,1256,1208,1812,69.31567328918322
12,29,648,1177,1105,1825,64.4931506849315
12,34,666,1286,1054,1952,65.8811475409836
12,39,585,1142,1011,1727,66.12623045744066
12,44,579,1100,1121,1679,65.51518761167362
12,49,561,1135,1010,1696,66.92216981132076
12,54,519,1203,1009,1722,69.86062717770035
12,59,536,1216,962,1752,69.40639269406392
13,4,535,1193,901,1728,69.03935185185185
13,9,1443,1141,947,2584,44.156346749226
13,14,1049,1200,980,2249,53.35704757670076
13,19,927,1219,931,2146,56.80335507921714
13,24,783,1095,877,1878,58.30670926517571
13,29,802,1050,892,1852,56.69546436285097
13,34,717,1093,839,1810,60.386740331491715
13,39,646,1025,821,1671,61.34051466187912
13,44,582,1011,866,1593,63.465160075329564
13,49,582,992,969,1574,63.024142312579414
13,54,519,1151,1114,1670,68.92215568862275
13,59,561,1157,905,1718,67.34575087310827
14,4,508,1144,960,1652,69.24939467312349
14,9,520,1115,876,1635,68.19571865443424
14,14,564,1033,895,1597,64.68378209142142
14,19,658,1015,1060,1673,60.66945606694561
14,24,524,1084,1202,1608,67.41293532338308
14,29,525,1057,1274,1582,66.8141592920354
14,34,737,1373,2083,2110,65.07109004739337
14,39,683,1284,1827,1967,65.27707168276564
14,44,583,1134,1540,1717,66.04542807221898
14,49,576,938,1400,1514,61.9550858652576
14,54,551,1129,1513,1680,67.20238095238096
14,59,530,1119,1470,1649,67.85930867192238
15,4,681,1361,1437,2042,66.65034280117533
15,9,721,1633,1445,2354,69.3712829226848
15,14,928,1533,1598,2461,62.291751320601385
15,19,861,1472,1647,2333,63.094727818259756
15,24,785,1238,1412,2023,61.19624320316361
15,29,734,1267,1307,2001,63.31834082958521
15,34,675,1178,1165,1853,63.572584997301675
15,39,603,1203,1144,1806,66.61129568106313
15,44,698,1262,1325,1960,64.38775510204081
15,49,685,1441,1365,2126,67.77986829727188
15,54,692,1293,1281,1985,65.13853904282117
15,59,593,1192,1311,1785,66.77871148459383
16,4,596,1320,1361,1916,68.89352818371609
16,9,590,1276,1377,1866,68.38156484458734
16,14,592,1171,1199,1763,66.42087351106069
16,19,653,1131,1247,1784,63.39686098654709
16,24,636,1112,1305,1748,63.61556064073226
16,29,545,1053,1232,1598,65.89486858573217
16,34,694,1158,1315,1852,62.52699784017278
16,39,817,1375,1588,2192,62.72810218978102
16,44,773,1363,1599,2136,63.81086142322098
16,49,727,1210,1492,1937,62.46773360867321
16,54,567,1113,1288,1680,66.25
16,59,567,1212,1316,1779,68.12816188870153
17,4,614,1093,1039,1707,64.03046280023433
17,9,654,1053,1531,1707,61.6871704745167
17,14,627,1108,1441,1735,63.861671469740635
17,19,641,1107,1489,1748,63.329519450800916
17,24,742,1171,1520,1913,61.212754835337165
17,29,674,1108,1472,1782,62.177328843995504
17,34,627,1022,1417,1649,61.97695573074591
17,39,638,1067,1382,1705,62.58064516129033
17,44,662,1167,1382,1829,63.805358119190814
17,49,599,1194,1341,1793,66.59230340211936
17,54,615,1142,1467,1757,64.99715424018213
17,59,558,1164,1398,1722,67.59581881533101
18,4,601,1198,1375,1799,66.59255141745413
18,9,602,1290,1355,1892,68.18181818181817
18,14,641,1279,1286,1920,66.61458333333333
18,19,577,1135,1308,1712,66.29672897196261
18,24,709,1098,1331,1807,60.76369673491976
18,29,850,1332,1498,2182,61.044912923923015
18,34,900,1510,1899,2410,62.655601659751035
18,39,777,1368,1826,2145,63.77622377622377
18,44,755,1366,1638,2121,64.4035832154644
18,49,834,1519,1563,2353,64.55588610284742
18,54,755,1458,1580,2213,65.88341617713512
18,59,726,1415,1606,2141,66.09061186361514
19,4,618,1291,1500,1909,67.6270298585647
19,9,705,1350,1450,2055,65.69343065693431
19,14,669,1418,1691,2087,67.94441782462866
19,19,853,1517,1793,2370,64.00843881856541
19,24,799,1666,1851,2465,67.58620689655173
19,29,748,1620,1746,2368,68.41216216216216
